DId,ItemName,ItemContent,OtherInfo
1,主变的型式,1#主变的型号为：SFSZ7-31500/110，2#主变的型号为：SFSZ9-50000/110,
2,主变的正常巡视检查项目,"1、	变压器本体及套管：\r\n1）	变压器的油温正常，温度计指示正确。\r\n2）	变压器油枕的油位应正常，符合油位与油温的关系曲线。\r\n3）	套管油位、油色应正常，套管外部无破损裂纹、无严重油污、无放电痕迹及其它异常现象。\r\n4）	变压器的声音连续、均匀的嗡嗡声，无异声。\r\n5）	变压器的油枕、套管及法兰、阀门、油管、瓦斯继电器等各部位无渗漏油。\r\n6）	变压器各连接引线无异常，各连接点无发热现象。\r\n7）	瓦斯继电器内充满油，无气体。 \r\n8）	压力释放装置完好，无喷油痕迹及动作指示。\r\n9）	呼吸器完好，油杯内油面、油色正常，呼吸畅通（油中有气泡翻动）。硅胶受潮变色不超过2/3。\r\n10）	各控制箱和端子箱应封堵完好，无进水受潮，温控除湿装置长期自动投入。\r\n2、	冷却系统：\r\n1）	冷却器本体及蝶阀、管道连接处等部位无渗漏油。\r\n3、	有载调压开关：\r\n1）	控制箱内各控制选择开关位置正确，档位显示与机械指示一致，无异常信号。\r\n2）	机构箱密封良好，电机电源开关应合上。\r\n3）	有载调压开关油位正常，符合油位与油温关系曲线。\r\n4）	有载开关油箱及有关的法兰、阀门、油管等处无渗漏油。",
3,主变停送电操作、并解列操作过程的一般要求,"1、变压器停送电，停电时先停低压侧、后停高压侧的顺序，送电时相反。\r\n2、两台变压器并列运行时，所在分接头电压应基本一致。\r\n3、运行中重瓦斯保护应接跳闸。当变压器差动保护停用时，不得将重瓦斯保护改接信号。\r\n4、运行中的变压器在进行下列工作时，应先征得调度同意，将本体重瓦斯改接信号，才能许可工作，工作结束后应将重瓦斯保护接跳闸：\r\n1）.变压器本体进行滤油、加油或放油工作。\r\n2）.变压器本体瓦斯继电器进行检查或校验。\r\n3）.当变压器本体油位计指示的油面有异常升高等情况，为查明原因有必要打开放气或放油阀门、检查呼吸器等工作时。\r\n4）.更换变压器硅胶时。",
4,主变本体发生事故及异常情况的处理,"1、	变压器有下列情况之一者，应立即将其停运：\r\n1）	变压器内部音响很大，不均匀，有爆裂声；\r\n2）	变压器严重漏油，油枕无油面指示；\r\n3）	压力释放装置动作喷油或冒烟；\r\n4）	套管有严重的破损漏油和放电现象；\r\n5）	在正常冷却、负荷、电压条件下，变压器上层油温超过限值且继续往上升。\r\n6）	变压器冒烟着火。\r\n2、	变压器有下列情况之一者，应加强监视和检查，判断原因，并立即汇报调度和工区，采取相应措施，必要时停电处理：\r\n1）	变压器有异常声音；\r\n2）	在负荷、冷却条件正常的情况下，变压器温度不断上升；\r\n3）	引出线桩头发热；\r\n4）	变压器渗漏油，油枕油面指示缓慢下降。\r\n3、	变压器的重瓦斯和差动保护同时动作跳闸，未经查明原因并消除故障前，不得进行强送和试送。\r\n4、	变压器的重瓦斯或差动保护之一动作跳闸，在检查变压器外部无明显故障，经瓦斯气体检查及试验证明变压器内部无明显故障后，在系统急需时，可以试送一次。变压器后备保护动作跳闸，应对变压器进行外部检查，只有在查明故障点并有效隔离后，方可对变压器试送一次。",
5,有载调压开关运行要求及操作方法、异常处理,"1、有载调压由当值调度员发令操作或根据系统电压的情况操作，并做好记录。调压操作必须逐档调节，操作时注意观察电压和电流变化正常，分接头位置指示器及动作计数器的指示应有相应变动，每调节一个档位应间隔1分钟。\r\n2、在下列情况下，禁止调压操作：\r\na.有载轻瓦斯保护动作发信时。\r\nb.有载开关油箱内绝缘油劣化不符合标准。\r\nc.有载开关油箱的油位异常。\r\nd.变压器过负荷时，不宜进行调压操作。\r\n3、变压器运行中，有载调压开关进行下列工作时，应先征得调度同意，将有载调压重瓦斯改接信号，才能许可工作，工作结束后再将重瓦斯保护接跳闸：\r\na.有载开关进行加油、虑油、放油。\r\nb.瓦斯继电器进行检查或校验。\r\nc.当有载调压开关油位计指示的油面有异常升高等情况，为查明原因由必要打开放气或放油阀门，检查呼吸器等工作时。\r\n4、有载调压操作有远控（监控后台）、近控（调压台）、就地（机构箱）三种操作方式。正常运行应采用远控或近控操作，调压台和机构箱内远/近控选择开关均必须切至“远方”位置，不允许就地操作。就地操作，只能在异常情况或检修时采用。就地操作一般采用电动操作，只有在电动操作回路或电机故障后，方可进行手动操作。\r\n有载调压运行操作说明及异常情况处理：\r\n5、有载调压开关运行操作说明：\r\n1）有载调压开关投运前应检查其油枕油位正常，无渗漏油，控制箱防潮良好；\r\n2）有载开关的瓦斯保护应按规定投入；\r\n3）电动控制回路的操作按钮、电源指示灯、行程指示灯应完好，极限位置闭锁应可靠；\r\n4）新装或大修后投入运行前，应手动对有载分接开关操作一个升降循环，证明档位指示器和计数器动作正确，闭锁可靠；\r\n5）应在变压器空载运行时对有载分接开关电动试操作至少一个升降循环，在证明各项指示正确，极限位置闭锁可靠后方可转入带负荷运行；\r\n6）操作班值班员现场巡视时应记录计数器情况，检查瓦斯继电器内有无气泡出现；\r\n7）两台有载变压器并列运行时，允许在变压器85%额定电流下进行分接变换操作，但不能在一台变压器上连续进行两次分接变换操作应在一台变压器分接变换完成后再进行另一台一个分接变换操作。\r\n6、有载调压开关异常情况处理：\r\n1）当轻瓦斯动作频繁时，应做好记录汇报调度、停止操作，分析原因及时处理；\r\n2）当电动操作出现连动滑档时，应立即切断电动机电源，手动操作至符合要求的分头位置，并通知检修人员及时处理；\r\n3）当有载调压开关重瓦斯保护动作跳闸后，未经内部检查、试验以前不得合闸送电。",
21,高压断路器及其操作机构配置,"110kV高压断路器均为西安高压开关厂生产的LW25-126型SF6开关，操作机构为弹簧操作机构。\r\n35kV高压断路器均为无锡苏源开关厂生产的GL107-A型SF6开关，操作机构为弹簧操作机构。\r\n10kV高压断路器均为淄博开关厂生产的ZN28－10型真空开关，操作机构为电磁操作机构。",
22,断路器的巡视,"1、	引线连结部位无过热现象，引线弧度适中、无断股，定期进行红外测温。\r\n2、	绝缘瓷套表面清洁，无破损裂纹或放电痕迹，内部无异常声响。 \r\n3、	断路器实际分合闸状态与机械、电气位置指示相一致。\r\n4、	SF6断路器SF6气体压力正常。\r\n5、	弹簧操作机构储能正常。\r\n6、	机构箱内远近控开关应在“远方”位置，各电源开关及闸刀应在合上位置。\r\n7、	温控除湿装置应长期自动投入。\r\n8、	操作箱箱内应封堵完好，各电气元件应清洁完整，且箱门关闭严密，无进水受潮。",\r\n23,下列情况对断路器进行特殊巡视,"1、	断路器跳闸后。\r\n2、	新投运或检修后。\r\n3、	高温季节、恶劣天气，高峰负荷时。\r\n4、	断路器存在严重缺陷时。",
24,LW25-126型断路器机构箱内各元件说明,"11-52T—分闸按钮\r\n43LR—就地-远方转换开关,当把手打在“当地” 位置，只能在现场直接分合断路器， 当打在“远方”控制时，只能通过变电站控制室分合按钮或调度室远方遥控 分、合闸，就地则不能进行分合闸\r\n11-52C—合闸按钮\r\nR1—加热器\r\nZK1—储能空气开关\r\nZK2—加热空气开关\r\nZK3—控制电源空气开关\r\nZK4—照明空气开关\r\nZK5—插座空气开关\r\nBD—照明灯泡\r\nCBS—SF6压力表",
25,GL107-A型断路器机构箱内各元件说明,"S1—分闸按钮\r\nS2—就地-远方转换开关,当把手打在“就地” 位置，只能在现场直接分合断路器， 当打在“远方”控制时，只能通过变电站控制室分合按钮或调度室远方遥控 分、合闸，就地则不能进行分合闸\r\nS3—合闸按钮\r\nR1—加热器\r\nZK1—储能空气开关\r\nTQ—分闸电磁铁",
26,断路器的运行与操作,"1、断路器一般设有远控和近控操作功能。正常时运行中，应采用“远控”操作方式，只有在断路器不带电情况下方可进行“近控”操作。\r\n2、断路器分合闸时,控制按钮不应返回太快 ,在预合、预分位置时,应检查指示灯是否闪光,以确保分合闸回路接通；\r\n3、断路器合闸送电时，如因保护动作跳闸，应立即停止操作并向调度汇报，并进行现场检查，严禁不经检查再次合闸强送。\r\n4、断路器分合闸后,应检查指示灯是否正确,检查装置电流、有功、无功指示是否正常；\r\n5、断路器合闸前,应对断路器进行外部检查,确认断路器在良好状态,保护压板已按规定投入；\r\n6、断路器故障跳闸后，应立即进行外部检查，并填写断路器跳闸记录。当断路器允许故障跳闸次数已达允许次数的前一次时，应汇报调度，要求停用其重合闸\r\n7、断路器每次分合闸操作后应作外部检查，注意瓷质部分有无损伤，内部有无放电声；\r\n8、检查SF6气体压力是否在额定压力；\r\n9、在分合闸闭锁销未解除前不得操作；\r\n10、SF6气压异常报警发出时不得操作；\r\n11、未储能信号发出时不得操作。\r\n12、真空断路器合闸后应检查合闸电流表应返回，防止烧坏合闸线圈；\r\n13、真空断路器真空度异常时不得带电进行分合闸操作；\r\n14、每次分合闸操作后应检查真空包有无变色现象。",
